Difficulty,wasSolved,NakedSingles,HiddenSingles,NakedSubsets_Size2,HiddenSubsets_Size2,BlockLine-Interactions,NakedSubsets_Size3,HiddenSubsets_Size3,NakedSubsets_Size4,HiddenSubsets_Size4,XWing,GivenCount,AnzStartPos1,AnzStartPos2,AnzStartPos3,AnzStartPos4,AnzStartPos5,AnzStartPos6,AnzStartPos7,AnzStartPos8,AnzStartPos9,AnzPossibilities,wasBacktracked
0, 43, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 0, 0, 4, 0, 3, 1, 0, 0, 145, 0
0, 43, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 1, 3, 5, 0, 3, 4, 0, 2, 1, 153, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 3, 3, 4, 5, 1, 7, 5, 4, 4, 126, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 3, 2, 0, 0, 2, 5, 0, 3, 5, 133, 0
0, 41, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 1, 0, 1, 2, 4, 0, 2, 2, 3, 137, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 9, 4, 3, 3, 1, 2, 10, 3, 2, 123, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 5, 5, 6, 2, 8, 9, 10, 5, 6, 127, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 1, 7, 2, 3, 5, 5, 4, 2, 6, 123, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 4, 3, 6, 0, 4, 1, 2, 7, 131, 0
0, 41, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 6, 0, 0, 1, 4, 1, 5, 0, 1, 148, 0
0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 5, 0, 0, 2, 4, 7, 3, 1, 4, 162, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 4, 5, 1, 2, 3, 3, 0, 0, 5, 145, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 2, 9, 1, 6, 7, 9, 6, 119, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 3, 1, 2, 3, 6, 3, 4, 6, 6, 123, 0
0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 7, 4, 1, 6, 5, 4, 6, 4, 5, 141, 0
0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 3, 0, 1, 0, 1, 0, 2, 4, 3, 165, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 7, 11, 14, 5, 4, 5, 10, 16, 5, 109, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 3, 6, 3, 0, 0, 2, 4, 6, 131, 0
0, 48, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 3, 6, 7, 0, 0, 2, 4, 4, 8, 161, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 2, 2, 6, 8, 0, 2, 7, 2, 130, 0
0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 3, 0, 3, 2, 0, 0, 0, 4, 2, 164, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 4, 5, 3, 2, 0, 2, 146, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 2, 2, 3, 3, 3, 2, 0, 3, 3, 137, 0
0, 40, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 0, 1, 4, 0, 5, 3, 3, 3, 130, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 5, 6, 4, 6, 3, 5, 5, 6, 124, 0
0, 48, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 4, 3, 7, 2, 4, 1, 4, 1, 2, 153, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 2, 4, 6, 2, 1, 9, 1, 6, 119, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 5, 0, 4, 3, 0, 0, 2, 2, 139, 0
0, 34, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 1, 3, 2, 4, 1, 5, 6, 0, 4, 152, 0
0, 41, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 4, 2, 5, 7, 2, 2, 4, 2, 129, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 5, 2, 6, 2, 7, 1, 1, 0, 9, 129, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 6, 4, 2, 4, 1, 0, 1, 3, 5, 132, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 7, 3, 2, 2, 5, 4, 1, 1, 12, 130, 0
0, 39, 12, 2, 0, 0, 0, 0, 0, 0, 0, 0, 30, 2, 0, 1, 3, 3, 1, 0, 1, 0, 169, 0
0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 5, 6, 6, 2, 1, 4, 7, 6, 4, 158, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 0, 2, 10, 8, 4, 5, 5, 7, 121, 0
0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 1, 1, 1, 0, 1, 2, 0, 2, 1, 159, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 6, 8, 1, 4, 5, 5, 3, 2, 126, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 7, 5, 2, 2, 1, 1, 0, 3, 1, 141, 0
0, 46, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 1, 0, 0, 2, 0, 1, 1, 5, 0, 162, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 0, 1, 0, 5, 5, 2, 2, 0, 137, 0
